,street,zipcode,price,sq,rooms,gestoffeerd,available
https://www.woonnet.nl/huurwoning/amsterdam/9356912_gaasterlandstraat,Gaasterlandstraat ,1079 PS,3000.0,120,3,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/9357223_kerkstraat,Kerkstraat ,1017 GA,1600.0,45,1,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9004_van-ollefenstraat,Van Ollefenstraat ,1065 LK,575.0,69,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9357269_wielingenstraat,Wielingenstraat ,1078 KK,1619.0,75,2,Kaal,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9347266_nieuwe-looiersstraat,Nieuwe Looiersstraat ,1017 VA,1395.0,45,1,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/7155_maassluisstraat,Maassluisstraat ,1062 GZ,700.0,80,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9340120_haparandaweg,Haparandaweg ,1013 BD,1250.0,30,99,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/9338137_bijlmerdreef,Bijlmerdreef 823,1103 TA,1400.0,77,2,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/8807_leusdenhof,Leusdenhof ,1108 DR,1100.0,91,3,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9338284_lijnbaansgracht,Lijnbaansgracht ,1015 TW,2250.0,120,1,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/9336767_bloemgracht,Bloemgracht ,1016 KA,2200.0,90,2,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/7929_amstelkade,Amstelkade ,1078 AE,1020.0,55,1,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9336819_prinsengracht,Prinsengracht ,1015 NA,2500.0,74,1,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9286139_president-kennedylaan,President Kennedylaan ,1079 MB,2500.0,125,3,Gemeubileerd,2020-06-01
https://www.woonnet.nl/huurwoning/amsterdam/4699_albert-cuypstraat,Albert Cuypstraat ,1073 BK,1295.0,35,1,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/5460217_hendrik-godfroidhof,Hendrik Godfroidhof ,1106 WS,1600.0,80,2,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/4023142_welnastraat,Welnastraat ,1096 BA,1300.0,31,1,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/6691_roerstraat,Roerstraat ,1078 LR,750.0,90,3,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9335467_madurastraat,Madurastraat ,1094 GC,1850.0,78,2,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/9329725_heringastate,Heringastate ,1082 TP,1400.0,45,1,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/4942_van-spilbergenstraat,Van Spilbergenstraat ,1057 RR,1120.0,24,1,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9332372_leeuwendalersweg,Leeuwendalersweg ,1055 JE,1900.0,96,3,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/9333405_paramariboplein,Paramariboplein ,1058 XC,1900.0,71,2,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/5051_raamstraat,Raamstraat ,1016 XL,900.0,25,1,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9333584_staalkade,Staalkade ,1011 JN,2100.0,100,3,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/9322384_pieter-cornelisz-hooftstraat,Pieter Cornelisz. Hooftstraat ,1071 CH,1500.0,75,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/amsterdam/7343_barajasweg,Barajasweg ,1043 CP,505.0,20,1,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9326865_generaal-vetterstraat,Generaal Vetterstraat ,1059 BS,2500.0,143,4,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/9321830_westlandgracht,Westlandgracht ,1058 TK,1700.0,60,1,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/5991_uiterwaardenstraat,Uiterwaardenstraat ,1079 CE,1295.0,40,1,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/1924_eksteenfontein,Eksteenfontein ,1103 AE,1125.0,118,4,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9318661_rapenburg,Rapenburg 45,1011 TV,2600.0,999,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/amsterdam/2871_minervaplein,Minervaplein ,1077 TM,550.0,24,1,Gemeubileerd,01-05-2020
https://www.woonnet.nl/huurwoning/amsterdam/9311077_baden-powellweg,Baden Powellweg 38G,1069 LL,2000.0,90,2,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/9304755_rozengracht,Rozengracht ,1016 NM,1300.0,30,1,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/3568_august-allebeplein,August Allebéplein ,1062 AB,1295.0,45,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9305461_venetiestraat,Venetiëstraat ,1019 NJ,2400.0,120,2,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/9301585_nageljongenstraat,Nageljongenstraat ,1033 PA,1400.0,50,1,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/3550_gustav-mahlerlaan,Gustav Mahlerlaan ,1082 MK,1200.0,40,1,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9302864_hudsonstraat,Hudsonstraat ,1057 EG,1399.0,45,1,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9288268_spiegelgracht,Spiegelgracht ,1017 JP,2250.0,90,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/amsterdam/7464_gerrit-mannourystraat,Gerrit Mannourystraat ,1062 LC,583.0,110,3,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9288471_dani235l-stalpertstraat,Dani&amp;#235;l Stalpertstraat ,onbekend,2750.0,95,2,Beschikbaar per: 2020-04-17,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/9287407_anjeliersstraat,Anjeliersstraat ,1015 DS,1450.0,31,1,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/8922_zuiderzeepark,Zuiderzeepark ,1024 MG,1250.0,82,2,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9287945_vespuccistraat,Vespuccistraat ,1057 CJ,1500.0,58,1,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/8951396_de-clercqstraat,De Clercqstraat 111 - 3,1053 AJ,1850.0,100,2,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/6523_staalmeesterslaan,Staalmeesterslaan ,1057 PG,1170.0,85,3,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/6334498_jan-bernardusstraat,Jan Bernardusstraat ,1091 TT,1495.0,40,1,Gemeubileerd,2021-06-23
https://www.woonnet.nl/huurwoning/amsterdam/6848943_transvaalkade,Transvaalkade ,1098 BD,1550.0,55,1,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/6032_kerkstraat,Kerkstraat ,1017 GC,850.0,25,1,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/4538596_barbusselaan,Barbusselaan ,1102 TS,1100.0,48,1,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/4997_august-allebeplein,August Allebeplein ,1062 AA,1345.0,59,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/2293_eastonstraat,Eastonstraat ,1068 JA,525.0,8,1,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/8907873_marnixstraat,Marnixstraat ,1015 TW,2500.0,145,3,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/9236716_nieuwezijds-voorburgwal,Nieuwezijds Voorburgwal ,1012 SJ,2100.0,64,2,Per direct beschikbaar,gratis!</span>
