,street,zipcode,price,sq,rooms,gestoffeerd,available,date added
https://www.woonnet.nl/huurwoning/amsterdam/10373446_van-baerlestraat,Van Baerlestraat 55 2,1071 AR,1850.0,70,1,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:04.093736
https://www.woonnet.nl/huurwoning/amsterdam/10373686_prinsengracht,Prinsengracht ,1015 NA,2600.0,120,2,Beschikbaar per: 2020-08-14,gratis!</span>,2020-06-15 12:24:04.184791
https://www.woonnet.nl/huurwoning/amsterdam/2108_rustenburgerstraat,Rustenburgerstraat ,1072 HC,900.0,20,1,Gestoffeerd,01-07-2020,2020-06-15 12:24:04.185531
https://www.woonnet.nl/huurwoning/amsterdam/10371290_paramariboplein,Paramariboplein ,1058 XC,2250.0,130,3,Gestoffeerd,beschikbaar,2020-06-15 12:24:04.706570
https://www.woonnet.nl/huurwoning/amsterdam/4466311_sumatrakade,Sumatrakade ,1019 BJ,1750.0,100,2,Gestoffeerd,beschikbaar,2020-06-15 12:24:05.321196
https://www.woonnet.nl/huurwoning/amsterdam/9722_govert-flinckstraat,Govert Flinckstraat ,1073 CG,695.0,25,1,Gestoffeerd,01-07-2020,2020-06-15 12:24:05.321954
https://www.woonnet.nl/huurwoning/amsterdam/1525_johan-van-der-keukenstraat,Johan van der Keukenstraat ,1087 BC,805.0,35,1,Gestoffeerd,01-07-2020,2020-06-15 12:24:05.719739
https://www.woonnet.nl/huurwoning/amsterdam/10368848_warmoesstraat,Warmoesstraat ,1012 AH,1500.0,60,1,Gemeubileerd,beschikbaar,2020-06-15 12:24:05.990455
https://www.woonnet.nl/huurwoning/amsterdam/2323473_brouwersgracht,Brouwersgracht ,1013 GW,1500.0,1,99,onbekend,onbekend,2020-06-15 12:24:06.261584
https://www.woonnet.nl/huurwoning/amsterdam/10363463_lange-leidsedwarsstraat,Lange Leidsedwarsstraat 95 - C,1017 NH,1575.0,65,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:06.262326
https://www.woonnet.nl/huurwoning/amsterdam/10356635_ruysdaelstraat,Ruysdaelstraat 60 I,1071 XG,1750.0,56,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:06.262994
https://www.woonnet.nl/huurwoning/amsterdam/1637_randwijkhof,Randwijkhof ,1106 JZ,500.0,131,5,Gestoffeerd,01-07-2020,2020-06-15 12:24:06.263676
