,street,zipcode,price,sq,rooms,gestoffeerd,available,date added
https://www.woonnet.nl/huurwoning/amsterdam/8591_appartement-admiraal,Admiraal De Ruijterweg ,1057 JT,733.0,73,3,Gestoffeerd,15-04-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9333405_paramariboplein,Paramariboplein ,1058 XC,1900.0,71,2,Gemeubileerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9333584_staalkade,Staalkade ,1011 JN,2100.0,100,3,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/8711_admiraal-de-ruijterweg,Admiraal De Ruijterweg ,1057 JW,1300.0,77,2,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9322384_pieter-cornelisz-hooftstraat,Pieter Cornelisz. Hooftstraat ,1071 CH,1500.0,75,99,onbekend,onbekend,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9326865_generaal-vetterstraat,Generaal Vetterstraat ,1059 BS,2500.0,143,4,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/4592_loggerhof,Loggerhof ,1034 CE,700.0,16,1,Gemeubileerd,15-04-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9321830_westlandgracht,Westlandgracht ,1058 TK,1700.0,60,1,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/1924_eksteenfontein,Eksteenfontein ,1103 AE,1125.0,118,4,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/3591_bos-en-lommerplantsoen,Bos en Lommerplantsoen ,1055 AA,1100.0,27,1,Gestoffeerd,15-04-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9318661_rapenburg,Rapenburg 45,1011 TV,2600.0,999,99,onbekend,onbekend,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9311077_baden-powellweg,Baden Powellweg 38G,1069 LL,2000.0,90,2,Per direct beschikbaar,gratis!</span>,01-04-2020
