,street,zipcode,price,sq,rooms,gestoffeerd,available,date added
https://www.woonnet.nl/huurwoning/amsterdam/9363_mercatorstraat,Mercatorstraat ,1056 RD,700.0,55,2,Gestoffeerd,01-07-2020,2020-04-26 11:18:27.904715
https://www.woonnet.nl/huurwoning/amsterdam/8613_therese-schwartzeplein,Therese Schwartzeplein ,1073 JK,1020.0,53,2,Gestoffeerd,01-06-2020,2020-04-26 11:18:27.905914
https://www.woonnet.nl/huurwoning/amsterdam/3937_mauvestraat,Mauvestraat ,1073 RJ,750.0,55,2,Gestoffeerd,01-05-2020,2020-04-26 11:18:34.253592
https://www.woonnet.nl/huurwoning/amsterdam/1920_rustenburgerstraat,Rustenburgerstraat ,1072 GZ,500.0,60,4,Gestoffeerd,01-05-2020,2020-04-26 11:18:34.255832
https://www.woonnet.nl/huurwoning/amsterdam/9501511_van-walbeeckstraat,Van Walbeeckstraat 53 III,1058 CK,1600.0,59,2,Per direct beschikbaar,gratis!</span>,2020-04-26 11:18:35.906191
https://www.woonnet.nl/huurwoning/amsterdam/8678_graaf-florisstraat,Graaf Florisstraat ,1091 TG,1500.0,60,2,Gestoffeerd,01-05-2020,2020-04-26 11:18:36.626745
https://www.woonnet.nl/huurwoning/amsterdam/9501082_wijdesteeg-pp,Wijdesteeg P.p ,1012 RN,550.0,999,99,onbekend,onbekend,2020-04-26 11:18:37.989579
https://www.woonnet.nl/huurwoning/amsterdam/2065_prins-hendrikkade,Prins Hendrikkade ,1012 TL,950.0,257,2,Gestoffeerd,01-05-2020,2020-04-26 11:18:38.076593
https://www.woonnet.nl/huurwoning/amsterdam/4010_trompenburgstraat,Trompenburgstraat ,1079 TX,567.0,92,3,Gestoffeerd,01-05-2020,2020-04-26 11:18:38.431423
https://www.woonnet.nl/huurwoning/amsterdam/9499982_trompenburgstraat,Trompenburgstraat ,1079 TM,1529.0,85,2,Gestoffeerd,beschikbaar,2020-04-26 11:18:43.770301
https://www.woonnet.nl/huurwoning/amsterdam/9499664_agamemnonstraat,Agamemnonstraat 43 I,1076 LR,1550.0,53,2,Per direct beschikbaar,gratis!</span>,2020-04-26 11:18:44.362130
https://www.woonnet.nl/huurwoning/amsterdam/9850243_soendastraat,Soendastraat ,1094 BE,1500.0,55,2,Per direct beschikbaar,gratis!</span>,2020-05-14 15:36:56.707739
https://www.woonnet.nl/huurwoning/amsterdam/6330_nassaukade,Nassaukade ,1052 CR,717.0,76,3,Gestoffeerd,01-06-2020,2020-05-14 15:37:00.829935
https://www.woonnet.nl/huurwoning/amsterdam/9829465_geuzenstraat,Geuzenstraat 94 - hs,1056 KH,1350.0,50,2,Per direct beschikbaar,gratis!</span>,2020-05-14 15:37:02.026291
https://www.woonnet.nl/huurwoning/amsterdam/363_cornelis-trooststraat-44-3,Cornelis Trooststraat 44-3 ,1072JG &amp;bullet,1.0,63,2,Ongemeubileerd,2020-06-01,2020-05-14 15:37:02.614751
https://www.woonnet.nl/huurwoning/amsterdam/8121_rustenburgerstraat,Rustenburgerstraat ,1072 GZ,633.0,56,3,Gestoffeerd,01-06-2020,2020-05-14 15:37:02.883264
https://www.woonnet.nl/huurwoning/amsterdam/9774712_kea-boumanstraat,Kea Boumanstraat 120B,1095,1250.0,50,99,onbekend,onbekend,2020-05-14 15:37:06.586612
https://www.woonnet.nl/huurwoning/amsterdam/3269_kastanjeplein,Kastanjeplein ,1092 CH,825.0,58,2,Gestoffeerd,01-06-2020,2020-05-14 15:37:09.987455
https://www.woonnet.nl/huurwoning/amsterdam/9757368_jj-cremerstraat,J.j. Cremerstraat 2 - III,1054 TD,1400.0,50,2,Per direct beschikbaar,gratis!</span>,2020-05-14 15:37:10.601284
https://www.woonnet.nl/huurwoning/amsterdam/3103_geuzenstraat,Geuzenstraat ,1056 KH,1350.0,50,2,Gestoffeerd,01-06-2020,2020-05-14 15:37:12.727278
https://www.woonnet.nl/huurwoning/amsterdam/9546_balboastraat,Balboastraat ,1057 VS,692.0,80,3,Gestoffeerd,01-06-2020,2020-05-14 15:37:13.395694
https://www.woonnet.nl/huurwoning/amsterdam/3764_orteliusstraat,Orteliusstraat ,1056 PK,1450.0,60,2,Gestoffeerd,01-06-2020,2020-05-14 15:37:14.938897
https://www.woonnet.nl/huurwoning/amsterdam/9718072_montelbaanstraat,Montelbaanstraat 11 II,1011 EG,1350.0,50,2,Per direct beschikbaar,gratis!</span>,2020-05-14 15:37:17.118091
https://www.woonnet.nl/huurwoning/amsterdam/9700688_lange-leidsedwarsstraat,Lange Leidsedwarsstraat ,1017 NR,1575.0,65,2,Gestoffeerd,beschikbaar,2020-05-14 15:37:19.815416
https://www.woonnet.nl/huurwoning/amsterdam/3620_ruyschstraat,Ruyschstraat ,1091 CB,1000.0,50,2,Gemeubileerd,15-05-2020,2020-05-14 15:37:20.121921
https://www.woonnet.nl/huurwoning/amsterdam/9660607_oudezijds-voorburgwal,Oudezijds Voorburgwal 169 ll,1012 ET,1600.0,50,2,Per direct beschikbaar,gratis!</span>,2020-05-14 15:37:22.582501
